x,y,t,r,n
21,7,2,1,1
21,8,1,0,1
21,8,2,1,1
21,9,1,0,1
21,9,2,0,1
21,10,1,0,1
21,10,2,0,1
21,11,1,0,1
21,11,2,1,1
21,12,1,0,1
21,12,2,0,1
21,13,1,0,1
21,13,2,0,1
21,14,1,0,1
21,14,2,0,1
21,15,1,0,1
21,15,2,0,1
21,16,1,0,1
21,16,2,0,1
21,17,1,0,1
21,17,2,0,1
21,18,1,0,1
21,18,2,0,1
21,19,1,0,1
21,19,2,0,1
21,20,1,0,1
21,20,2,0,1
21,21,1,0,1
21,21,2,0,1
22,1,1,1,1
22,1,2,1,1
22,2,1,1,1
22,2,2,1,1
22,3,1,0,1
22,3,2,0,1
22,4,1,1,1
22,4,2,1,1
22,5,1,1,1
22,5,2,1,1
22,6,1,1,1
22,6,2,1,1
22,7,1,1,1
22,7,2,1,1
22,8,1,0,1
22,8,2,1,1
22,9,1,0,1
22,9,2,0,1
22,10,1,0,1
22,10,2,0,1
22,11,1,0,1
22,11,2,0,1
22,12,1,0,1
22,12,2,0,1
22,13,1,0,1
22,13,2,0,1
22,14,1,0,1
22,14,2,0,1
22,15,1,0,1
22,15,2,0,1
22,16,1,0,1
22,16,2,0,1
22,17,1,0,1
22,17,2,0,1
22,18,1,0,1
22,18,2,0,1
22,19,1,0,1
22,19,2,0,1
22,20,1,0,1
22,20,2,0,1
22,21,1,0,1
22,21,2,0,1
23,1,1,1,1
23,1,2,1,1
23,2,1,0,1
23,2,2,0,1
23,3,1,0,1
23,3,2,0,1
23,4,1,1,1
23,4,2,1,1
23,5,1,0,1
23,5,2,0,1
23,6,1,0,1
23,6,2,0,1
23,7,1,0,1
23,7,2,0,1
23,8,1,0,1
23,8,2,0,1
23,9,1,0,1
23,9,2,0,1
23,10,1,0,1
23,10,2,0,1
23,11,1,0,1
23,11,2,0,1
23,12,1,0,1
23,12,2,0,1
23,13,1,0,1
23,13,2,0,1
23,14,1,0,1
23,14,2,0,1
23,15,1,0,1
23,15,2,0,1
23,16,1,0,1
23,16,2,0,1
23,17,1,0,1
23,17,2,0,1
23,18,1,0,1
23,18,2,0,1
23,19,1,0,1
23,19,2,0,1
23,20,1,0,1
23,20,2,0,1
23,21,1,0,1
23,21,2,0,1
24,1,1,0,1
24,1,2,0,1
24,2,1,1,1
24,2,2,1,1
24,3,1,1,1
24,3,2,1,1
24,4,1,1,1
24,4,2,1,1
24,5,1,1,1
24,5,2,1,1
24,6,1,0,1
24,6,2,0,1
24,7,1,1,1
24,7,2,1,1
24,8,1,0,1
24,8,2,0,1
24,9,1,0,1
24,9,2,0,1
24,10,1,0,1
24,10,2,0,1
24,11,1,0,1
24,11,2,0,1
24,12,1,0,1
24,12,2,0,1
24,13,1,0,1
24,13,2,0,1
24,14,1,0,1
24,14,2,0,1
24,15,1,0,1
24,15,2,0,1
24,16,1,0,1
24,16,2,0,1
24,17,1,0,1
24,17,2,0,1
24,18,1,0,1
24,18,2,0,1
24,19,1,0,1
24,19,2,0,1
24,20,1,0,1
24,20,2,0,1
24,21,1,0,1
24,21,2,0,1
25,1,1,1,1
25,1,2,1,1
25,2,1,0,1
25,2,2,1,1
25,3,1,1,1
25,3,2,1,1
25,4,1,1,1
25,4,2,1,1
25,5,1,0,1
25,5,2,0,1
25,6,1,0,1
25,6,2,0,1
25,7,1,0,1
25,7,2,0,1
25,8,1,0,1
25,8,2,0,1
25,9,1,0,1
25,9,2,0,1
25,10,1,0,1
25,10,2,0,1
25,11,1,0,1
25,11,2,0,1
25,12,1,0,1
25,12,2,0,1
25,13,1,0,1
25,13,2,0,1
25,14,1,0,1
25,14,2,0,1
25,15,1,0,1
25,15,2,0,1
25,16,1,0,1
25,16,2,0,1
25,17,1,0,1
25,17,2,0,1
25,18,1,0,1
25,18,2,0,1
25,19,1,0,1
25,19,2,0,1
25,20,1,0,1
25,20,2,0,1
25,21,1,0,1
25,21,2,0,1
26,1,1,1,1
26,1,2,1,1
26,2,1,0,1
26,2,2,1,1
26,3,1,1,1
26,3,2,1,1
26,4,1,0,1
26,4,2,1,1
26,5,1,1,1
26,5,2,1,1
26,6,1,0,1
26,6,2,0,1
26,7,1,0,1
26,7,2,0,1
26,8,1,0,1
26,8,2,1,1
26,9,1,0,1
26,9,2,0,1
26,10,1,0,1
26,10,2,0,1
26,11,1,0,1
26,11,2,0,1
26,12,1,0,1
26,12,2,0,1
26,13,1,0,1
26,13,2,0,1
26,14,1,0,1
26,14,2,0,1
26,15,1,0,1
26,15,2,0,1
26,16,1,0,1
26,16,2,0,1
26,17,1,0,1
26,17,2,0,1
26,18,1,0,1
26,18,2,0,1
26,19,1,0,1
26,19,2,0,1
26,20,1,0,1
26,20,2,0,1
26,21,1,0,1
26,21,2,0,1
27,1,1,0,1
27,1,2,1,1
27,2,1,0,1
27,2,2,0,1
27,3,1,1,1
27,3,2,1,1
27,4,1,0,1
27,4,2,1,1
27,5,1,0,1
27,5,2,0,1
27,6,1,1,1
27,6,2,1,1
27,7,1,0,1
27,7,2,1,1
27,8,1,0,1
27,8,2,1,1
27,9,1,0,1
27,9,2,0,1
27,10,1,0,1
27,10,2,0,1
27,11,1,0,1
27,11,2,0,1
27,12,1,0,1
27,12,2,0,1
27,13,1,0,1
27,13,2,0,1
27,14,1,0,1
27,14,2,0,1
27,15,1,0,1
27,15,2,0,1
27,16,1,0,1
27,16,2,0,1
27,17,1,0,1
27,17,2,0,1
27,18,1,0,1
27,18,2,0,1
27,19,1,0,1
27,19,2,0,1
27,20,1,0,1
27,20,2,0,1
27,21,1,0,1
27,21,2,0,1
